Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
371.0,10.0,10.0,0.02098801290976053
372.0,10.0,10.0,0.020889564476050407
373.0,12.0,12.0,0.02077258997898313
374.0,10.0,10.0,0.02067607165313641
375.0,10.0,10.0,0.02058041809493076
376.0,17.0,17.0,0.02041976979143461
377.0,10.0,10.0,0.02032641260082961
378.0,9.0,9.0,0.02024310650393092
379.0,10.0,10.0,0.020151332149466683
380.0,10.0,10.0,0.02006038005845681
381.0,9.0,9.0,0.019979220121469583
382.0,10.0,10.0,0.019889810089039194
383.0,10.0,10.0,0.019801201136633292
384.0,16.0,16.0,0.019661075168603943
385.0,17.0,17.0,0.019514385754078017
386.0,9.0,9.0,0.019437630507875954
387.0,9.0,9.0,0.01936149446799701
388.0,18.0,18.0,0.01921106006625554
389.0,9.0,9.0,0.019136751834337953
390.0,8.0,8.0,0.019071203478380816
391.0,9.0,9.0,0.01899802350919219
392.0,9.0,9.0,0.0189254339035538
393.0,10.0,10.0,0.0188454653964903
394.0,15.0,15.0,0.01872685404168708
395.0,10.0,10.0,0.018648664734969237
396.0,10.0,10.0,0.018571175974823592
397.0,10.0,10.0,0.01849438148461821
398.0,13.0,13.0,0.018395576358353736
399.0,9.0,9.0,0.018327846864611322
400.0,11.0,11.0,0.018245807943363643
401.0,10.0,10.0,0.018171928627479562
402.0,9.0,9.0,0.01810600336336264
403.0,10.0,10.0,0.018033376643561177
404.0,9.0,9.0,0.017968569117563386
405.0,11.0,11.0,0.017890069497563107
406.0,11.0,11.0,0.017812343189590282
407.0,12.0,12.0,0.017728423863199477
408.0,9.0,9.0,0.017666076477702783
409.0,10.0,10.0,0.017597391336164465
410.0,10.0,10.0,0.017529321587478254
411.0,10.0,10.0,0.017461861717957296
412.0,10.0,10.0,0.017395006263315284
413.0,11.0,11.0,0.01732215690064985
414.0,10.0,10.0,0.017256553148254514
415.0,9.0,9.0,0.01719801247754081
416.0,10.0,10.0,0.017133521012153985
417.0,10.0,10.0,0.01706960736586941
418.0,14.0,14.0,0.016981089148919156
419.0,10.0,10.0,0.016918541234392105
420.0,17.0,17.0,0.016813493220031908
421.0,10.0,10.0,0.016752446901546897
422.0,9.0,9.0,0.016697972998786285
423.0,10.0,10.0,0.016637961697727705
424.0,10.0,10.0,0.016578488075195963
425.0,9.0,9.0,0.01652541754758648
426.0,10.0,10.0,0.016466952278011333
427.0,10.0,10.0,0.01640901083510651
428.0,19.0,19.0,0.016300348460942787
429.0,18.0,18.0,0.016199105101271444
430.0,13.0,13.0,0.016126998219402878
431.0,10.0,10.0,0.016072102636097815
432.0,11.0,11.0,0.016012285403856488
433.0,10.0,10.0,0.01595841760392861
434.0,9.0,9.0,0.015910349360535366
435.0,10.0,10.0,0.015857394868945038
436.0,17.0,17.0,0.015768458823113934
437.0,12.0,12.0,0.015706494676506318
438.0,21.0,21.0,0.015599654744813576
439.0,11.0,11.0,0.015544491670600947
440.0,10.0,10.0,0.01549481512533546
441.0,10.0,10.0,0.015445583663099428
442.0,10.0,10.0,0.015396793296117482
443.0,10.0,10.0,0.015348440072343232
444.0,15.0,15.0,0.015276721322155573
445.0,9.0,9.0,0.01523415251585632
446.0,9.0,9.0,0.015191927124181246
447.0,10.0,10.0,0.015145409423709788
448.0,8.0,8.0,0.015108495525361035
449.0,10.0,10.0,0.01506272534041338
450.0,9.0,9.0,0.01502188290034411
451.0,10.0,10.0,0.014976888731710096
452.0,8.0,8.0,0.014941183824751899
453.0,10.0,10.0,0.014896912689268566
454.0,10.0,10.0,0.014853038206390458
455.0,10.0,10.0,0.014809556822260478
456.0,9.0,9.0,0.014770756764373696
457.0,9.0,9.0,0.014732269717549602
458.0,9.0,9.0,0.014694093156639255
